Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Rada-Mendoza, M.P., Villamiel-Guerra, M.M., Hoyos-Saavedra, O.L., Alvira, L.F.","6506755976;57207618779;57189262765;57207617499;","Quantification of lead using atomic absorption spectrometry in thermoformed and biodegradable flexible films made from cassava (Manihot esculenta crantz) [Cuantificación de plomo por espectrometría de absorción atómica en termoformados y películas flexibles biodegradables elaboradas a partir de yuca (Manihot esculenta crantz)]",2018,"DYNA (Colombia)","85","207",,"236","242",,,"10.15446/dyna.v85n207.72347","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062682937&doi=10.15446%2fdyna.v85n207.72347&partnerID=40&md5=fb016109dbd3e784515d02fd68682848",Article,"Final",Open Access,Scopus,2-s2.0-85062682937
"Hernández-Dávila, E.S., Granizo, J.A., Santillán-Gallegos, M., Haro-Medina, M.","57207617802;57207620233;57207618379;57207618037;","Analysis of the efficacy of operational availability equations on series and parallel systems [Análisis de la eficacia de las ecuaciones de la disponibilidad operacional de sistemas en serie y paralelo]",2018,"DYNA (Colombia)","85","207",,"269","277",,,"10.15446/dyna.v85n207.71658","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062682788&doi=10.15446%2fdyna.v85n207.71658&partnerID=40&md5=140269d4e359d0fd5cdee604fbc55915",Article,"Final",Open Access,Scopus,2-s2.0-85062682788
"Diógenes, T.B.A., de Oliveira, F.H.T., de Queiroga, F.M., Moura, A.C.C., de Carvalho, S.L., Tavares, H.A.M.","56241793500;15046545800;36522609400;57207617587;57207623208;57207622649;","Accumulation of dry matter and macronutrients by the Caeté tomato under field conditions [Acumulación de materia seca y macronutrientes por el tomate Caeté bajo condiciones de campo]",2018,"DYNA (Colombia)","85","207",,"101","106",,,"10.15446/dyna.v85n207.72277","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062682758&doi=10.15446%2fdyna.v85n207.72277&partnerID=40&md5=ef2ac1c8f7681e5e6f998c8dfb1f4ccb",Article,"Final",Open Access,Scopus,2-s2.0-85062682758
"Fuentes-Lacouture, W.M., Duque-Felfle, J.A., Lascarro-Estrada, C.J.","57207617095;57207619941;57207624106;","Constitutive simulation of a kaolin clay with vertical and horizontal sedimentation axes [Simulación de una arcilla caolín con ejes de sedimentación vertical y horizontal]",2018,"DYNA (Colombia)","85","207",,"227","235",,,"10.15446/dyna.v85n207.69197","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062681866&doi=10.15446%2fdyna.v85n207.69197&partnerID=40&md5=b85f3261dbedc332cbf6b6d1bb5e9e9c",Article,"Final",Open Access,Scopus,2-s2.0-85062681866
"Ochoa-Burgos, E.R., Parra-Vargas, C.A., Mejía-Gómez, J.A., de Grave, E.","57207619511;17135548800;56633882600;7005346677;","Study of the structural and magnetic properties of the system Bi <inf>1</inf> - <inf>x</inf> Y <inf>x</inf> FeO <inf>3</inf> x = 0 and 0.07 using mössbauer spectroscopy [Estudio de las propiedades estructurales y magnéticas del sistema Bi <inf>1-x</inf> Y <inf>x</inf> FeO <inf>3</inf> x=0 y 0.07 usando espectroscopia mössbauer]",2018,"DYNA (Colombia)","85","207",,"22","28",,,"10.15446/dyna.v85n207.68421","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062681323&doi=10.15446%2fdyna.v85n207.68421&partnerID=40&md5=8e07d37235c53638f7cf8da29aae1963",Article,"Final",Open Access,Scopus,2-s2.0-85062681323
"Zapata-Cortes, J.A., Arango-Serna, M.D., Serna-Urán, C.A.","55258445000;26649735400;57195263055;","Application of the joint replenishment problem in a collaborative inventory approach to define resupply plans in urban goods distribution contexts [Aplicación del problema de reabastecimiento conjunto en un esquema de colaboración del inventario para definir planes de abastecimiento en contextos de distribución urbana de mercancías]",2018,"DYNA (Colombia)","85","207",,"174","182",,,"10.15446/dyna.v85n207.72546","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062679490&doi=10.15446%2fdyna.v85n207.72546&partnerID=40&md5=141c8068443598eb467b832a55e72c37",Article,"Final",Open Access,Scopus,2-s2.0-85062679490
"Piscal-Arévalo, C.M., López-Almansa, F.","57207617519;6603363834;","Proposal for the future design code for seismic isolation of buildings in Colombia [Propuesta para la futura norma de aislamiento sísmico de edificaciones en Colombia]",2018,"DYNA (Colombia)","85","207",,"306","315",,,"10.15446/dyna.v85n207.72296","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062677521&doi=10.15446%2fdyna.v85n207.72296&partnerID=40&md5=a6b3299d02d3d7dd97cb9ae510419c94",Article,"Final",Open Access,Scopus,2-s2.0-85062677521
"de la Roche-Yepes, J., González, J.M., Restrepo-Parra, E., Sánchez-Sthepa, H.","57207619584;57205599342;23986169100;6507090921;","Corrosion resistance and tribological behavior of WS <inf>2</inf> -Ti coatings by Ti cathode power changes in magnetron co-sputtering [Películas de WS <inf>2</inf> -Ti producidas por magnetrón co-sputtering variando la potencia del cátodo de titanio: Comportamiento tribológico y resistencia a la corrosión]",2018,"DYNA (Colombia)","85","207",,"221","226",,,"10.15446/dyna.v85n207.67980","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062677320&doi=10.15446%2fdyna.v85n207.67980&partnerID=40&md5=89292a85a6bdf55770bbe8dd45c12def",Article,"Final",Open Access,Scopus,2-s2.0-85062677320
"Gutiérrez-Sepúlveda, D., Laniado, H., Medina-Hurtado, S.","57188682035;55089692200;56695149800;","Robust estimation of the covariance matrix for the optimal selection of investment portfolios [Estimación robusta de la matriz de covarianza para la selección óptima de portafolios de inversión]",2018,"DYNA (Colombia)","85","207",,"328","336",,,"10.15446/dyna.v85n207.74883","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062676629&doi=10.15446%2fdyna.v85n207.74883&partnerID=40&md5=9b368773581da4cfef6de76ffb49de0a",Article,"Final",Open Access,Scopus,2-s2.0-85062676629
"Aristizábal-Alzate, C.E., González-Manosalva, J.L.","57194555873;57207620687;","Effectiveness analysis of the ITM environmental programs: Saving and efficient use of electric energy and water, and comprehensive solid waste management. A case study [Análisis de la efectividad de los programas ambientales del ITM: Uso eficiente y ahorro de energía eléctrica y agua, y el manejo integral de desechos sólidos. caso de estudio]",2018,"DYNA (Colombia)","85","207",,"36","43",,,"10.15446/dyna.v85n207.69309","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062675550&doi=10.15446%2fdyna.v85n207.69309&partnerID=40&md5=86eedc5c848df43fd71b5cc67725aeb6",Article,"Final",Open Access,Scopus,2-s2.0-85062675550
"Fernández-Castañeda, L.A., Arias-Candamil, H., Zapata-Torres, B., Ardila-Castañeda, M.P.","57207619148;57207617319;57207620706;57207617635;","Evaluation of the antimicrobial capacity of hass avocado seed extract (Persea americana) for potential application in the meat industry [Evaluación de la capacidad antimicrobiana del extracto de semilla de aguacate hass (Persea americana) con potencial aplicación en la industria cárnica]",2018,"DYNA (Colombia)","85","207",,"346","350",,,"10.15446/dyna.v85n207.72980","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062673641&doi=10.15446%2fdyna.v85n207.72980&partnerID=40&md5=2a4afd508d1c998915daf8cae5acc728",Article,"Final",Open Access,Scopus,2-s2.0-85062673641
"Alpala, L.O., Alemany, M.M.E., Peluffo-Ordoñez, D.H., Bolaños, F., Rosero, A.M., Torres, J.C.","57188760509;15841436200;35746975300;57207624037;57207619074;7402798601;","Methodology for the design and simulation of industrial facilities and production systems based on a modular approach in an ""industry 4.0"" context • [Metodología para el diseño y simulación de instalaciones industriales y sistemas de producción basada en una visión modular bajo un contexto de ""industria 4.0""]",2018,"DYNA (Colombia)","85","207",,"243","252",,,"10.15446/dyna.v85n207.68545","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062673161&doi=10.15446%2fdyna.v85n207.68545&partnerID=40&md5=11a79e4d785407ba8b08acb692deaa96",Article,"Final",Open Access,Scopus,2-s2.0-85062673161
"Alves Damasceno, F., E Silva Ferraz, G.A., Alves Oliveira, C.E., Osorio-Saraz, J.A., Freire Brandão, L.","57202266151;55776632200;57207619326;55811295500;57207623003;","Study the spatial variability of the noise levels inside two commercial poultry housing with different adiabatic evaporative cooling systems [Estudio de la variabilidad espacial del nivel de ruido en dos instalaciones avícolas con diferentes sistemas de enfriamiento adiabático evaporativo]",2018,"DYNA (Colombia)","85","207",,"9","15",,,"10.15446/dyna.v85n207.59724","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062672848&doi=10.15446%2fdyna.v85n207.59724&partnerID=40&md5=f5d009577034bbd44d77353dd6a35168",Article,"Final",Open Access,Scopus,2-s2.0-85062672848
"Correa, D., Mazo, R., Giraldo-Goméz, G.L.","55538563700;35321401400;57196403648;","Fragment-oriented programming: A framework to design and implement software product line domain components [Programación orientada a fragmentos: Un marco para diseñar e implementar componentes de dominio de líneas de productos de software]",2018,"DYNA (Colombia)","85","207",,"74","83",,,"10.15446/dyna.v85n207.71908","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062671450&doi=10.15446%2fdyna.v85n207.71908&partnerID=40&md5=3965078bc62106bb4c234d3218e9f516",Article,"Final",Open Access,Scopus,2-s2.0-85062671450
"Escobar, F.H., Bonilla, L.F., Hernández, C.M.","7006702231;7006392614;17344136600;","A practical calculation of the distance to a discontinuity in anisotropic systems from well test interpretation [Cálculo práctico de la distancia a una discontinuidad en sistemas anisotrópicos a partir de la interpretación de pruebas de presión]",2018,"DYNA (Colombia)","85","207",,"65","73",,,"10.15446/dyna.v85n207.72281","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062671407&doi=10.15446%2fdyna.v85n207.72281&partnerID=40&md5=91a81808e53484520064e9675cc1be0a",Article,"Final",Open Access,Scopus,2-s2.0-85062671407
"Acevedo-Martínez, E., Gutiérrez-Cortés, C., García-Mahecha, M., Díaz-Moreno, C.","57207623073;56297618100;57207621805;56009666200;","Evaluation of viability of probiotic bacteria in mango (Mangifera indica L. Cv. “Tommy Atkins”) beverage [Evaluación de la viabilidad de bacterias probióticas en bebida de mango (Mangifera indica L. Cv. “Tommy Atkins”)]",2018,"DYNA (Colombia)","85","207",,"84","92",,,"10.15446/dyna.v85n207.70578","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062669276&doi=10.15446%2fdyna.v85n207.70578&partnerID=40&md5=f3eaacdca750ccc0e1481f0678ed7278",Article,"Final",Open Access,Scopus,2-s2.0-85062669276
"Castro-Duque, Y.","57207621987;","Optimization of the auxiliary ventilation system, based on experiments executed on a ventilation test bench for mines [Optimización del sistema de ventilación auxiliar, basado en experiencias realizadas en un banco de pruebas de ventilación para minas]",2018,"DYNA (Colombia)","85","207",,"208","213",,,"10.15446/dyna.v85n207.64255","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062668049&doi=10.15446%2fdyna.v85n207.64255&partnerID=40&md5=45e23687571e80807a7d720615a48296",Article,"Final",Open Access,Scopus,2-s2.0-85062668049
"Prado, N.I., Carrillo, J., Ospina, G.A., Ramirez-Amaya, D.","57190274897;28367475000;57207622548;57207624145;","Experimental assessment of I-shaped steel beams with longitudinal stiffeners under lateral-torsional buckling [Evaluación experimental de vigas de acero en I con rigidizadores longitudinales ante el pandeo lateral torsional]",2018,"DYNA (Colombia)","85","207",,"278","287",,,"10.15446/dyna.v85n207.71892","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062667941&doi=10.15446%2fdyna.v85n207.71892&partnerID=40&md5=dd223a4a88d2584b247f045f3e014a67",Article,"Final",Open Access,Scopus,2-s2.0-85062667941
"Romero-Núñez, N.N., Tuiran-Villalba, R.E.","57195282818;57207618906;","Optimization method of a six-bar steering mechanism formulated with natural coordinates [Método de optimización de un mecanismo de dirección de seis barras formulado con coordenadas naturales]",2018,"DYNA (Colombia)","85","207",,"168","173",,,"10.15446/dyna.v85n207.71619","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062666994&doi=10.15446%2fdyna.v85n207.71619&partnerID=40&md5=8de594b6edc60179537ffd285d05bb18",Article,"Final",Open Access,Scopus,2-s2.0-85062666994
"Higuita-Alzate, D., Valencia-Cárdenas, M., Correa-Morales, J.C.","57207618386;54793543700;16314940700;","Combination forecasting method using Bayesian models and a metaheuristic, case study [Método de combinación de pronósticos usando modelos Bayesianos y una metaheurística, caso de estudio]",2018,"DYNA (Colombia)","85","207",,"337","345",,,"10.15446/dyna.v85n207.68424","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062666596&doi=10.15446%2fdyna.v85n207.68424&partnerID=40&md5=4bbca99b86406f6b399ee150161e399c",Article,"Final",Open Access,Scopus,2-s2.0-85062666596
"Caicedo, C., Vázquez-Arce, A., Ossa, O.H., De La Cruz, H., Maciel-Cerda, A.","38061068500;57207618644;57207622828;57207617113;15832204300;","Physicomechanical behavior of composites of polypropylene, and mineral fillers with different process cycles [Comportamiento fisicomecánico de compuestos de polipropileno y cargas minerales con diferentes ciclos de proceso]",2018,"DYNA (Colombia)","85","207",,"260","268",,1,"10.15446/dyna.v85n207.71894","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062665357&doi=10.15446%2fdyna.v85n207.71894&partnerID=40&md5=a986a6123fceb9cf31ef6c9281d07991",Article,"Final",Open Access,Scopus,2-s2.0-85062665357
"Calvi, C., Dapeña, C., Martínez, D.E.","57188726377;24437900700;7202958638;","Present day background of nitrate as a methodology in the surface water - Groundwater interaction applied in southeastern Buenos Aires province, Argentina [Fondo actual de nitrato como metodología en la relación agua superficial – Subterránea aplicado en el sudeste Bonaerense, Argentina]",2018,"DYNA (Colombia)","85","207",,"288","296",,,"10.15446/dyna.v85n207.72543","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062664786&doi=10.15446%2fdyna.v85n207.72543&partnerID=40&md5=f91c8c77cc4e65380bdcf6addeb3fcda",Article,"Final",Open Access,Scopus,2-s2.0-85062664786
"Montes, D., Cortés, F.B., Franco, C.A.","57207620284;57200708446;55270146000;","Reduction of heavy oil viscosity through ultrasound cavitation assisted by NiO nanocrystals-functionalized SiO <inf>2</inf> nanoparticles [Reducción de la viscosidad de crudos pesados mediante cavitación por ultrasonido asistida por nanopartículas de SiO <inf>2</inf> funcionalizadas con nanocristales de NiO]",2018,"DYNA (Colombia)","85","207",,"153","160",,,"10.15446/dyna.v85n207.71804","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062663727&doi=10.15446%2fdyna.v85n207.71804&partnerID=40&md5=fa45e6d2c5e861a17e294fe64cc7f93a",Article,"Final",Open Access,Scopus,2-s2.0-85062663727
"Valencia-Rodríguez, O., Olivar-Tost, G., Redondo, J.M.","57207622327;57194406680;47661539300;","Modeling a productive system incorporating elements of business sustainability [Modelado de un sistema productivo incorporando elementos de la sostenibilidad empresarial]",2018,"DYNA (Colombia)","85","207",,"113","122",,,"10.15446/dyna.v85n207.71209","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062663725&doi=10.15446%2fdyna.v85n207.71209&partnerID=40&md5=b225d4e6d11799fae2a5447cbc9697e5",Article,"Final",Open Access,Scopus,2-s2.0-85062663725
"Villa-Espinal, J., Osorio-Gómez, G.","57191288478;55131958800;","Methodology for the design of automotive HUD graphical interfaces [Metodología para el diseño de interfaces graficas HUD en automóviles]",2018,"DYNA (Colombia)","85","207",,"161","167",,,"10.15446/dyna.v85n207.71437","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062661564&doi=10.15446%2fdyna.v85n207.71437&partnerID=40&md5=5cd3e27b564bf3133a28f6616129d57e",Article,"Final",Open Access,Scopus,2-s2.0-85062661564
"Bedoya-Hincapié, C.M., Restrepo-Parra, E., López-Carreño, L.D.","24167862000;23986169100;6602414651;","Applications of magnetic and multiferroic core/shell nanostructures and their physical properties [Aplicaciones de nanoestructuras core/shell magnéticas y multiferroicas y sus propiedades físicas]",2018,"DYNA (Colombia)","85","207",,"29","35",,,"10.15446/dyna.v85n207.69203","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062660592&doi=10.15446%2fdyna.v85n207.69203&partnerID=40&md5=25ad5c5271e2af2f4286f3f6cb8c59ff",Article,"Final",Open Access,Scopus,2-s2.0-85062660592
"Díaz-Suárez, R.A., Pinzón-Parada, A.L., Hernández-García, J.A., Tirado-Romero, J.S., Díaz-Meza, C.F.","57207617070;57207618285;57207622140;57207623933;57207618485;","Development an active electrodes system for acquisition and wireless transmission of electrocardiography signal lead II [Desarrollo de un sistema de electrodos activos para adquisición y transmisión inalámbrica de la señal electrocardiográfica segunda derivación]",2018,"DYNA (Colombia)","85","207",,"253","259",,,"10.15446/dyna.v85n207.69405","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062660427&doi=10.15446%2fdyna.v85n207.69405&partnerID=40&md5=2c7ed7c40ccdecedca4948500a25a2ad",Article,"Final",Open Access,Scopus,2-s2.0-85062660427
"Restrepo, D., Restrepo-Cuestas, B., Trejos, A.","57207621768;57201687046;54685273700;","Microgrid analysis using HOMER: A case study [Análisis de microredes utilizando HOMER: Un caso de estudio]",2018,"DYNA (Colombia)","85","207",,"129","134",,,"10.15446/dyna.v85n207.69375","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062659674&doi=10.15446%2fdyna.v85n207.69375&partnerID=40&md5=b8e0ccda10d2361d338fe0eb55a2f121",Article,"Final",Open Access,Scopus,2-s2.0-85062659674
"Sereno, J.E., Caicedo, M.A., Rivadeneira, P.S.","57191610150;57201821394;24169242900;","Artificial pancreas: Glycemic control strategies for avoiding hypoglycemia [Páncreas artificial: Estrategias de control glucémico que evitan hipoglucemia]",2018,"DYNA (Colombia)","85","207",,"198","207",,,"10.15446/dyna.v85n207.71535","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062657081&doi=10.15446%2fdyna.v85n207.71535&partnerID=40&md5=52252c3d93fc282a18805d2489bbfd63",Article,"Final",Open Access,Scopus,2-s2.0-85062657081
"Maldonado-Maldonado, J.I., Márquez-Romance, A.M., Guevara-Pérez, E., Pérez, S., Rey-Lago, D.","57207619459;56074555800;41861503000;57207617617;57207622149;","Model development for the design of an anaerobic upflow filter separated in two and three phases [Desarrollo de modelos para el diseño de filtros anaeróbicos de flujo ascendente separados en dos y tres fases]",2018,"DYNA (Colombia)","85","207",,"44","53",,,"10.15446/dyna.v85n207.69783","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062656386&doi=10.15446%2fdyna.v85n207.69783&partnerID=40&md5=c75cd2f5f5a78dd255a80c4083b8e09e",Article,"Final",Open Access,Scopus,2-s2.0-85062656386
"Pérez, A.D., Rodríguez-Barona, S., Fontalvo, J.","57190253258;6507009745;6507924255;","Molecular toxicity of potential liquid membranes for lactic acid removal from fermentation broths using Lactobacillus casei ATCC 393 [Toxicidad molecular de membranas liquidas potenciales para la remoción de ácido láctico a partir de caldos de fermentación con lactobacillus casei ATCC 393]",2018,"DYNA (Colombia)","85","207",,"360","366",,1,"10.15446/dyna.v85n207.72374","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062653178&doi=10.15446%2fdyna.v85n207.72374&partnerID=40&md5=c6e3530d2ba758c3707131beec188cd2",Article,"Final",Open Access,Scopus,2-s2.0-85062653178
"Gil-Giraldo, E.Y., Duque-Cifuentes, A.L., Quintero-Castaño, V.D.","57207621204;57207621470;57188581667;","Obtaining minimally processed strawberry (Fragaria x ananassa) products and their physicochemical, microbiological, and sensory characterization by using edible coatings [Obtención y caracterización fisicoquímica, microbiológica y sensorial de productos mínimamente procesados de fresa (Fragaria x ananassa) mediante el uso de recubrimientos comestibles]",2018,"DYNA (Colombia)","85","207",,"183","191",,,"10.15446/dyna.v85n207.72982","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062652941&doi=10.15446%2fdyna.v85n207.72982&partnerID=40&md5=eada92d0facac49e83b0907435322b86",Article,"Final",Open Access,Scopus,2-s2.0-85062652941
"Malleuve-Martínez, A., Alfonso-Robaina, D., Lavandero-García, J., Ramos-Díaz, V.C.","57202265554;57202265264;57202264781;57207621067;","Strategic management model with enterprise architecture approach for integration management system in enterprises [Modelo de dirección estratégica con enfoque de arquitectura empresarial para la integración del sistema de dirección de la empresa (Deae-isde)]",2018,"DYNA (Colombia)","85","207",,"297","305",,,"10.15446/dyna.v85n207.72073","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062652879&doi=10.15446%2fdyna.v85n207.72073&partnerID=40&md5=bcd3738ed50ffd75ae18ddb3f597f241",Article,"Final",Open Access,Scopus,2-s2.0-85062652879
"Parra, L., Quintero, L., Maradei, F.","57207623831;57207623144;57207528758;","Decreasing the load on the lower back with an ergonomic cutting tool for harvesting oil palm bunches [Reducción de la carga en espalda baja con una herramienta de corte ergonómica para el cultivo de aceite de palma]",2018,"DYNA (Colombia)","85","207",,"214","220",,,"10.15446/dyna.v85n207.69836","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062652380&doi=10.15446%2fdyna.v85n207.69836&partnerID=40&md5=afab7c019d0e6a41dd923d123fcfb394",Article,"Final",Open Access,Scopus,2-s2.0-85062652380
